comparison_group,instance,method_or_variant,seed,hypervolume,igd_plus,osd,nondominated_solution_count,archive_size_rank_0_3,unique_layout_signature_count_rank_0_3,runtime_seconds,reference_front_size,normalization_scope,archive_scope,hv_reference_point
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,101,1.1312466329966333,0.06721074872410562,0.30982809835476827,4,21,21,91.5012231,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,102,1.1312466329966333,0.06721074872410562,0.30982809835476827,4,23,23,84.0758948,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,103,0.9012314814814818,0.15885215556213272,0.46524276676501497,4,26,26,103.1717812,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,104,1.0086001683501686,0.07055445599968387,0.28170855284042556,3,17,17,101.4734028,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,105,1.0196590909090912,0.12479923059516045,0.4615665179031714,4,27,27,102.4815391,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,106,1.0196590909090912,0.12479923059516045,0.4615665179031714,4,32,32,89.4481448,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,107,0.9798257575757578,0.10126367369107792,0.2424052626465162,4,21,21,93.4085689,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,108,1.2318897306397307,0.0,0.26945169366350447,6,40,40,95.6092655,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,109,0.8851860269360272,0.15885215556213272,0.46366888650097504,3,20,20,101.6872875,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,110,0.9633516835016839,0.097336150042725,0.6125871118657272,3,22,22,98.3103559,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,111,1.1054028619528624,0.0443371552951815,0.5252198325006597,6,30,30,92.0305029,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,112,0.9893314814814818,0.10126367369107792,0.5916757116822463,4,20,20,98.4881882,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,113,1.0004739057239058,0.12479923059516045,0.2507976548715964,3,23,23,121.7929821,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,114,0.9797415824915827,0.10126367369107792,0.2786329433449942,3,20,20,120.574514,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,115,1.157963804713805,0.038227978495290395,0.3208584423616894,4,20,20,111.0577525,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,116,0.8889840067340071,0.15885215556213272,0.5425298200104626,4,31,31,114.6988779,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,117,0.8681540404040407,0.15885215556213272,0.4733052434096566,3,20,20,142.3854412,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,118,0.9893627946127949,0.09425607914835066,0.45932281516190027,4,20,20,128.2201386,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,119,1.2117533670033676,0.01201067779078803,0.2649441880797193,5,29,29,120.8634861,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,120,1.203738215488216,0.02451067779078803,0.26822104072021496,5,25,25,111.4216272,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,121,0.9125757575757578,0.13439370396178643,0.2087695552957769,4,23,23,133.5098776,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,122,1.0993274410774412,0.06500967253833154,0.2874207522934164,3,20,20,160.1896623,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,123,1.0219880471380476,0.07055445599968387,0.564235762321947,4,21,21,111.0762655,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,124,1.0448173400673404,0.07055445599968387,0.48974095279745605,4,23,23,160.8237125,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,125,1.0993274410774412,0.06500967253833154,0.2874207522934164,3,20,20,141.1757819,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,126,1.0004739057239058,0.12479923059516045,0.2507976548715964,3,20,20,174.7312771,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,127,1.0993274410774412,0.06500967253833154,0.2874207522934164,3,32,32,132.8254116,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,128,0.9595537037037041,0.097336150042725,0.6754358226507792,3,18,18,158.8693987,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,129,0.9893314814814818,0.10126367369107792,0.5916757116822463,4,23,23,155.5247655,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V0_full_proposed,130,0.8585587542087545,0.15885215556213272,0.6216975050073749,3,22,22,172.6963965,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V1_fixed_sorting,101,1.1526102693602696,0.04731888758619949,0.3574318935965219,3,17,17,110.4855296,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V1_fixed_sorting,102,1.0046277777777781,0.09138778933301721,0.7598131014431263,3,15,15,113.2771167,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V1_fixed_sorting,103,0.7484651515151517,0.18551882222879937,0.0,1,16,16,118.2108785,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V1_fixed_sorting,104,1.1526102693602696,0.04731888758619949,0.3574318935965219,3,14,14,149.2403309,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V1_fixed_sorting,105,1.1526102693602696,0.04731888758619949,0.3574318935965219,3,14,14,108.395542,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V1_fixed_sorting,106,1.1526102693602696,0.04731888758619949,0.3574318935965219,3,14,14,129.4119227,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V1_fixed_sorting,107,1.065064814814815,0.07410058162924063,0.2812743149043659,2,14,14,133.7703037,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
phase12b,AT_S_comercial_layout_AW_3,V1_fixed_sorting,108,1.1526102693602696,0.04731888758619949,0.3574318935965219,3,18,18,118.9912486,6,per instance and comparison group,final feasible rank 0-3,"(1.1,1.1,1.1)"
